product_id,quantity,wholesale_cost,sale_price,supplier_id
2CE1RNHR6OV1,6136,396.75,568.94,GATJXFAG
ZJ2VDLAXA5Y8,3838,367.93,688.4,HJGCFVMV
0S17TMY187O6,4080,373.1,686.88,CSDSYWJU
7DW0K069S8S6,6552,394.09,740.89,SERWAZMX
GK9R7O4R0OXN,1863,120.89,201.4,SERWAZMX
510DXDF4N0QL,3309,375.7,543.64,NHKMYOFY
4WUXGIAH7TOM,2622,120.89,223.4,WDXMBCNS
4M6XV0N487SE,2042,108.13,138.51,PXDXMORG
1H8RNT7O3OAT,5877,386.16,695.86,EUTQCTSM
2LV2WTGDT47B,1601,141.98,227.45,OJQBDSJE
7C5Q1KJ2GKGJ,3811,353.85,433.11,SASERNVV
8XXKZRELM2JJ,3260,370.51,623.94,SASERNVV
098P9IOB8QSP,1102,104.27,121.16,YNMMBGMH
39WZQSBY2XP0,279,18.68,32.73,UXNVMXTP
EHBCC7KFUEU4,5788,420.99,785.57,RGQCTLCT
VH6Q352WBHDU,2263,131.68,250.06,USRMLEYN
6VR7OSAWOKF4,6245,383.54,471.75,SXJLPXWP
3UEPJDNT64T1,4117,358.94,476.31,EFZFEWBD
TCBEFTJLSJME,2943,146.36,225.69,USRMLEYN
I72ZRU1LON9F,3623,384.85,569.96,KJSJOKLM
EEV7CTU8NKTE,207,9.66,17.9,ZCZWGMYU
6DBKWAO32G2V,5173,402.08,532.76,IORAGUSE
FQYF4P83T3TZ,1440,126.65,192.51,SERWAZMX
LHLA270LOOCL,3696,411.49,459.63,CSSBDRWU
VQJ2265QMGHH,5848,358.94,466.62,DVTTBGWX
M3D1DUMI8BG2,6988,420.99,702.21,OVIJVVMY
U7IDW3DH3OJ5,4880,337.51,499.85,QYHTPPOO
0AA1MQ4D1LSX,5834,418.27,592.69,UTCORDWC
GFF5LZ4VEHT0,5953,469.81,530.89,DPCTSMVM
23WYT79HKTB5,4263,451.42,605.81,NXTXIDSR
I1YQPJPTA4GR,616,31.39,53.24,OODWWNVF
279AYUVE9JUG,730,36.71,62.7,ANCAIDAQ
DRGL677XILY8,5442,459.87,550.92,LGMCZVRT
ZMW0X9H71XNS,1315,134.22,164.15,BEOAQCUU
2HKKTFZQDEVS,4322,445.82,549.25,AOQAITFZ
NFP7Z2ROWN4T,5263,426.46,638.84,UGJRJPUM
9SDJD0D98W8Y,5881,382.22,649.77,KAAOTZPV
C4I476O6PWRH,2128,121.7,164.9,VZLQFRWX
PT6XJNU8TUB9,1922,130.84,218.24,TOJRXIYG
IJGFHL13Q54G,2676,122.52,222.37,YNMMBGMH
MPEH5H36AUAK,5301,395.42,611.32,SASERNVV
Y0XCN2PY1LEZ,4164,451.42,808.49,GUNUNVBC
MTM0UE7NU9W0,4794,387.48,459.16,KHYHIZDT
00H7VS7Z9ZQY,6831,447.22,792.92,PSMQGMBF
HSYU8MW9Z8C9,1159,146.36,207.1,RBMYXJCV
I8KAZF2OJGC1,5181,371.8,445.79,UTCORDWC
A62OYKQJGSJD,5772,462.7,755.13,JKLYTTYX
VCCPFZFDWJKT,954,27.73,45.98,GUNUNVBC
IMCZ6XQUBK09,4088,422.35,745.03,FHSVDIGH
UM0OORJVZJVI,529,45.59,71.76,VRRZLGHK
X45O77IJC05U,2077,125.82,182.06,XTLSDMUL
U7F8QF26PLOE,71,2.22,3.14,YNMMBGMH
HYCIL78B3A1Y,6970,410.14,579.53,WLCEIYVC
RT05PXJWGHIQ,875,39.24,68.94,MLUBXBOB
19IKTOQJRDHC,424,43.97,62.09,MLUBXBOB
AAR54KHF3X2B,381,14.37,22.27,UGJRJPUM
N5TUJCXKATSE,3949,441.64,491.55,OFTXWWYN
72PGREK3GQLJ,3879,408.79,526.93,KGXRQYXG
JWIV2GPZW86T,5084,343.76,570.99,VRRZLGHK
TZT7CJV9CGDC,4476,332.55,443.29,NXTXIDSR
HPBW6SSDLEBX,2283,112.85,198.05,VRRZLGHK
616Q0JJLK4CJ,6322,408.79,694.13,ONGELTQN
0JNEYD4SH7SO,6659,350.05,589.48,WDXMBCNS
6RE3SU4USB99,2853,126.65,239.62,UTCORDWC
0HOLOECK2TPL,2090,114.44,173.15,BWZUXDTR
J0SAEL02UQKQ,6409,374.4,637.23,QDHPNSCH
N0N6CUCBR4JI,877,33.76,47.13,PRDUSSZE
UM92NLVMSBJH,3770,414.2,466.8,UGJRJPUM
EE17W39YZHCU,31,0.59,0.69,OTWBEGVW
X42H4SPV6R3H,545,28.18,52.3,PSMQGMBF
HR6IQN6GRC49,106,4.01,5.56,MLUBXBOB
OATN5CWSUPM9,4459,410.14,506.11,VRRZLGHK
A8ZXT3S9L1X9,3599,407.45,451.86,QYHTPPOO
KO77SVUQEPF1,6331,418.27,606.07,LGMCZVRT
9JAPXBPKX1AD,6828,347.53,498.01,TXCOIZJT
DAJJ2W41N2RF,3639,414.2,780.77,GGJOIYRG
F93NE28O7KPJ,2290,134.22,168.18,JKLYTTYX
M6H38OPCHF0D,596,34.25,58.46,VRRZLGHK
F1DXGAP8BHPB,6726,374.4,599.79,PSVGQMQG
X70Y409YG2ZB,2045,124.99,192.86,XSILJQML
HX5EQYROVRFW,5967,382.22,614.99,EFZFEWBD
ZGJ07T5W362W,3396,425.09,718.83,RGQCTLCT
4D10M5ZCWK6D,1497,145.48,191.31,WLCEIYVC
SJIFJOW6C4S8,448,40.27,48.81,HJGCFVMV
JRLRRVIG10UQ,300,17.93,21.41,TOJRXIYG
FSTE19HWRE5Z,1905,147.24,189.06,OASMAYFO
IW3BGEUSXLL1,1670,120.07,223.57,UXXZPJFF
33H0KW5JZNEM,432,39.75,47.98,XTYQULIL
E6FUMD9KITNC,2630,149.02,191.79,DVTTBGWX
7NZYDLA58E72,2539,120.07,151.29,CSDSYWJU
0E7JDU0RP7KH,4050,371.8,540.6,NQBZXFHM
KEVDI6JAT8JE,4429,365.35,633.15,WDXMBCNS
Z0C9NT2SUWQE,150,14.71,18.93,KGXRQYXG
CUY3R21NKF23,4019,371.8,606.78,PSMQGMBF
O9FKYW8TA3E0,3997,365.35,481.17,OJQBDSJE
7DBPYJNOQD2X,3717,390.12,608.2,BIDYVWTH
Z33VT1T2U8MR,1097,127.48,160.88,VBFCBKEA
Z7WD85EBZP0J,152,11.45,21.73,VBFCBKEA
W66WOM1M2IVF,3970,431.95,796.95,PQECJMNZ
MESTW61EURHW,3267,402.08,715.3,UGJRJPUM
